Semester,Exam,Question,BloomsLevel
Fall2014,3,21,3
Fall2014,3,22,1
Fall2014,3,23,2
Fall2014,3,24,4
Fall2014,3,25,2
Fall2014,3,26,4
Fall2014,3,27,2
Fall2014,3,28,1
Fall2014,3,29,2
Fall2014,3,30,3
Fall2014,3,31,2
Fall2014,3,32,2
Fall2014,3,33,2
Fall2014,3,34,3
Fall2014,3,35,2
Fall2014,3,51,4
Fall2014,3,52,2
Fall2014,3,53,3
Fall2014,3,54,4
Fall2014,4,1,1
Fall2014,4,2,1
Fall2014,4,3,1
Fall2014,4,4,1
Fall2014,4,5,2
Fall2014,4,6,1
Fall2014,4,7,3
Fall2014,4,8,2
Fall2014,4,9,2
Fall2014,4,10,2
Fall2014,4,11,1
Fall2014,4,12,1
Fall2014,4,13,2
Fall2014,4,14,2
Fall2014,4,15,4
Fall2014,4,16,4
Fall2014,4,17,4
Fall2014,4,18,3
Fall2014,4,19,3
Fall2014,4,20,2
Fall2014,4,21,3
Fall2014,4,22,4
Fall2014,4,23,1
Fall2014,4,24,2
Fall2014,4,25,3
Fall2014,4,26,3
Fall2014,4,27,1
Fall2014,4,28,4
Fall2014,4,29,2
Fall2014,4,30,2
Fall2014,4,31,4
Fall2014,4,32,1
Fall2014,4,33,2
Fall2014,4,34,2
Fall2014,4,35,2
Fall2014,4,51,4
Fall2014,4,52,4
Fall2014,4,53,4
